"Metabolit","load"
"Sucrose",0.538017287666136
"Tryptophan",-0.475054467391121
"Methylamine",-0.468977581515784
"Uracil",-0.302091757514667
"Pantothenate",-0.279484413543108
"Glucose",0.239935148905247
"Dimethylamine",-0.167841230595556
"Lactate",0.0843443787366419
"Creatinine",-0.0484660047814568
"Serine",0.0186340987419148
